t=,35900, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.023, ca=,0.0436, cr=,0.0495,  actvprof=,1.075992, best_B_id=,B04, best_B_prof=,1.075992, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.023, ca=,0.0436, cr=,0.0495, 
t=,71801, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478,  actvprof=,1.639169, best_B_id=,B04, best_B_prof=,1.639169, best_B_strat=, mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478, 
t=,107701, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478,  actvprof=,1.435244, best_B_id=,B04, best_B_prof=,1.435244, best_B_strat=, mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478, 
t=,143602, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478,  actvprof=,1.445247, best_B_id=,B04, best_B_prof=,1.445247, best_B_strat=, mBuy=,-0.087, mSel=,+0.069, b=,0.000, m=,0.018, ca=,0.0403, cr=,0.0478, 
t=,179502, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529,  actvprof=,2.454398, best_B_id=,B04, best_B_prof=,2.454398, best_B_strat=, mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529, 
t=,215403, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529,  actvprof=,2.658476, best_B_id=,B04, best_B_prof=,2.658476, best_B_strat=, mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529, 
t=,251304, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529,  actvprof=,2.593849, best_B_id=,B04, best_B_prof=,2.593849, best_B_strat=, mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529, 
t=,287204, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529,  actvprof=,2.458248, best_B_id=,B04, best_B_prof=,2.458248, best_B_strat=, mBuy=,-0.081, mSel=,+0.064, b=,0.002, m=,0.006, ca=,0.0344, cr=,0.0529, 
t=,323105, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525,  actvprof=,2.644408, best_B_id=,B04, best_B_prof=,2.644408, best_B_strat=, mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525, 
t=,359006, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525,  actvprof=,1.803562, best_B_id=,B04, best_B_prof=,1.803562, best_B_strat=, mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525, 
t=,394907, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525,  actvprof=,1.676196, best_B_id=,B04, best_B_prof=,1.676196, best_B_strat=, mBuy=,-0.116, mSel=,+0.049, b=,0.000, m=,0.004, ca=,0.0368, cr=,0.0525, 
