t=,29157, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.034, ca=,0.0477, cr=,0.0453,  0.809453, 
t=,58313, actvstrat=,mBuy=,-0.096, mSel=,+0.033, b=,0.051, m=,0.035, ca=,0.0438, cr=,0.0463,  0.929393, 
t=,87470, actvstrat=,mBuy=,-0.107, mSel=,+0.014, b=,0.074, m=,0.001, ca=,0.0394, cr=,0.0501,  0.957771, 
t=,116626, actvstrat=,mBuy=,-0.131, mSel=,+0.000, b=,0.093, m=,0.000, ca=,0.0382, cr=,0.0531,  0.996405, 
t=,145784, actvstrat=,mBuy=,-0.146, mSel=,+0.005, b=,0.139, m=,0.040, ca=,0.0397, cr=,0.0521,  1.082545, 
t=,174941, actvstrat=,mBuy=,-0.162, mSel=,+0.013, b=,0.176, m=,0.012, ca=,0.0451, cr=,0.0556,  1.167062, 
t=,204097, actvstrat=,mBuy=,-0.162, mSel=,+0.013, b=,0.176, m=,0.012, ca=,0.0451, cr=,0.0556,  1.157211, 
t=,233254, actvstrat=,mBuy=,-0.121, mSel=,+0.017, b=,0.193, m=,0.036, ca=,0.0424, cr=,0.0523,  1.203961, 
t=,262411, actvstrat=,mBuy=,-0.132, mSel=,+0.043, b=,0.213, m=,0.083, ca=,0.0418, cr=,0.0546,  1.160833, 
t=,291568, actvstrat=,mBuy=,-0.104, mSel=,+0.079, b=,0.190, m=,0.086, ca=,0.0436, cr=,0.0530,  1.146303, 
t=,320725, actvstrat=,mBuy=,-0.081, mSel=,+0.023, b=,0.231, m=,0.078, ca=,0.0475, cr=,0.0502,  1.187440, 
t=,349881, actvstrat=,mBuy=,-0.081, mSel=,+0.023, b=,0.231, m=,0.078, ca=,0.0475, cr=,0.0502,  1.247020, 
t=,379038, actvstrat=,mBuy=,-0.086, mSel=,+0.017, b=,0.185, m=,0.032, ca=,0.0460, cr=,0.0510,  1.216779, 
t=,408195, actvstrat=,mBuy=,-0.086, mSel=,+0.017, b=,0.185, m=,0.032, ca=,0.0460, cr=,0.0510,  1.089011, 
t=,437353, actvstrat=,mBuy=,-0.086, mSel=,+0.017, b=,0.185, m=,0.032, ca=,0.0460, cr=,0.0510,  1.164246, 
t=,466509, actvstrat=,mBuy=,-0.094, mSel=,+0.025, b=,0.218, m=,0.022, ca=,0.0476, cr=,0.0519,  1.210101, 
t=,495666, actvstrat=,mBuy=,-0.046, mSel=,+0.003, b=,0.275, m=,0.026, ca=,0.0497, cr=,0.0519,  1.213087, 
t=,524822, actvstrat=,mBuy=,-0.026, mSel=,+0.000, b=,0.313, m=,0.000, ca=,0.0470, cr=,0.0544,  1.280121, 
t=,553979, actvstrat=,mBuy=,-0.027, mSel=,+0.035, b=,0.323, m=,0.004, ca=,0.0468, cr=,0.0540,  1.303175, 
t=,583136, actvstrat=,mBuy=,+0.000, mSel=,+0.067, b=,0.317, m=,0.028, ca=,0.0470, cr=,0.0511,  1.343984, 
t=,612292, actvstrat=,mBuy=,-0.026, mSel=,+0.053, b=,0.332, m=,0.017, ca=,0.0443, cr=,0.0504,  1.294395, 
t=,641448, actvstrat=,mBuy=,-0.039, mSel=,+0.031, b=,0.341, m=,0.011, ca=,0.0449, cr=,0.0482,  1.351836, 
t=,670606, actvstrat=,mBuy=,+0.000, mSel=,+0.035, b=,0.349, m=,0.004, ca=,0.0464, cr=,0.0453,  1.321844, 
t=,699763, actvstrat=,mBuy=,-0.025, mSel=,+0.000, b=,0.355, m=,0.000, ca=,0.0468, cr=,0.0354,  1.303262, 
t=,728920, actvstrat=,mBuy=,-0.035, mSel=,+0.002, b=,0.369, m=,0.025, ca=,0.0482, cr=,0.0354,  1.314641, 
t=,758077, actvstrat=,mBuy=,-0.035, mSel=,+0.002, b=,0.369, m=,0.025, ca=,0.0482, cr=,0.0354,  1.309267, 
t=,787233, actvstrat=,mBuy=,+0.000, mSel=,+0.013, b=,0.384, m=,0.034, ca=,0.0544, cr=,0.0351,  1.373460, 
t=,816390, actvstrat=,mBuy=,-0.020, mSel=,+0.000, b=,0.392, m=,0.030, ca=,0.0526, cr=,0.0346,  1.360963, 
t=,845546, actvstrat=,mBuy=,-0.020, mSel=,+0.000, b=,0.392, m=,0.030, ca=,0.0526, cr=,0.0346,  1.339691, 
t=,874702, actvstrat=,mBuy=,-0.015, mSel=,+0.036, b=,0.418, m=,0.045, ca=,0.0540, cr=,0.0343,  1.304566, 
t=,903859, actvstrat=,mBuy=,-0.006, mSel=,+0.006, b=,0.454, m=,0.063, ca=,0.0533, cr=,0.0313,  1.298896, 
t=,933017, actvstrat=,mBuy=,+0.000, mSel=,+0.000, b=,0.462, m=,0.040, ca=,0.0570, cr=,0.0320,  1.338220, 
t=,962173, actvstrat=,mBuy=,-0.062, mSel=,+0.011, b=,0.472, m=,0.016, ca=,0.0627, cr=,0.0329,  1.339545, 
t=,991329, actvstrat=,mBuy=,-0.045, mSel=,+0.011, b=,0.459, m=,0.000, ca=,0.0630, cr=,0.0317,  1.350897, 
t=,1020486, actvstrat=,mBuy=,-0.045, mSel=,+0.011, b=,0.459, m=,0.000, ca=,0.0630, cr=,0.0317,  1.352471, 
t=,1049642, actvstrat=,mBuy=,-0.000, mSel=,+0.015, b=,0.511, m=,0.012, ca=,0.0598, cr=,0.0284,  1.364807, 
t=,1078799, actvstrat=,mBuy=,-0.034, mSel=,+0.048, b=,0.516, m=,0.018, ca=,0.0620, cr=,0.0296,  1.384872, 
t=,1107955, actvstrat=,mBuy=,-0.038, mSel=,+0.073, b=,0.562, m=,0.082, ca=,0.0594, cr=,0.0273,  1.347493, 
t=,1137112, actvstrat=,mBuy=,-0.026, mSel=,+0.097, b=,0.574, m=,0.052, ca=,0.0565, cr=,0.0262,  1.378329, 
t=,1166268, actvstrat=,mBuy=,-0.026, mSel=,+0.097, b=,0.574, m=,0.052, ca=,0.0565, cr=,0.0262,  1.384231, 
t=,1195425, actvstrat=,mBuy=,-0.026, mSel=,+0.097, b=,0.574, m=,0.052, ca=,0.0565, cr=,0.0262,  1.413561, 
t=,1224582, actvstrat=,mBuy=,-0.041, mSel=,+0.080, b=,0.610, m=,0.027, ca=,0.0582, cr=,0.0261,  1.481217, 
t=,1253739, actvstrat=,mBuy=,-0.065, mSel=,+0.074, b=,0.610, m=,0.000, ca=,0.0556, cr=,0.0265,  1.452255, 
t=,1282896, actvstrat=,mBuy=,-0.080, mSel=,+0.055, b=,0.624, m=,0.021, ca=,0.0546, cr=,0.0325,  1.423229, 
t=,1312053, actvstrat=,mBuy=,-0.075, mSel=,+0.059, b=,0.551, m=,0.014, ca=,0.0539, cr=,0.0343,  1.406309, 
t=,1341209, actvstrat=,mBuy=,-0.059, mSel=,+0.076, b=,0.595, m=,0.000, ca=,0.0507, cr=,0.0307,  1.452176, 
t=,1370366, actvstrat=,mBuy=,-0.059, mSel=,+0.076, b=,0.595, m=,0.000, ca=,0.0507, cr=,0.0307,  1.414904, 
t=,1399523, actvstrat=,mBuy=,-0.061, mSel=,+0.030, b=,0.598, m=,0.004, ca=,0.0499, cr=,0.0352,  1.445426, 
t=,1428679, actvstrat=,mBuy=,-0.040, mSel=,+0.000, b=,0.565, m=,0.000, ca=,0.0477, cr=,0.0362,  1.388977, 
t=,1457836, actvstrat=,mBuy=,-0.010, mSel=,+0.017, b=,0.623, m=,0.003, ca=,0.0447, cr=,0.0361,  1.394618, 
t=,1486993, actvstrat=,mBuy=,-0.010, mSel=,+0.017, b=,0.623, m=,0.003, ca=,0.0447, cr=,0.0361,  1.470802, 
t=,1516149, actvstrat=,mBuy=,-0.010, mSel=,+0.017, b=,0.623, m=,0.003, ca=,0.0447, cr=,0.0361,  1.460740, 
t=,1545306, actvstrat=,mBuy=,-0.010, mSel=,+0.017, b=,0.623, m=,0.003, ca=,0.0447, cr=,0.0361,  1.465592, 
t=,1574463, actvstrat=,mBuy=,-0.010, mSel=,+0.017, b=,0.623, m=,0.003, ca=,0.0447, cr=,0.0361,  1.440481, 
t=,1603620, actvstrat=,mBuy=,+0.000, mSel=,+0.063, b=,0.681, m=,0.010, ca=,0.0464, cr=,0.0369,  1.427234, 
t=,1632776, actvstrat=,mBuy=,-0.000, mSel=,+0.039, b=,0.675, m=,0.039, ca=,0.0486, cr=,0.0398,  1.412291, 
t=,1661933, actvstrat=,mBuy=,-0.000, mSel=,+0.039, b=,0.675, m=,0.039, ca=,0.0486, cr=,0.0398,  1.372378, 
t=,1691089, actvstrat=,mBuy=,+0.000, mSel=,+0.070, b=,0.685, m=,0.004, ca=,0.0480, cr=,0.0375,  1.424321, 
t=,1720246, actvstrat=,mBuy=,-0.025, mSel=,+0.097, b=,0.744, m=,0.000, ca=,0.0462, cr=,0.0389,  1.415305, 
t=,1749402, actvstrat=,mBuy=,-0.044, mSel=,+0.057, b=,0.704, m=,0.001, ca=,0.0495, cr=,0.0338,  1.464751, 
t=,1778558, actvstrat=,mBuy=,-0.021, mSel=,+0.075, b=,0.661, m=,0.015, ca=,0.0518, cr=,0.0379,  1.422165, 
t=,1807715, actvstrat=,mBuy=,-0.045, mSel=,+0.092, b=,0.665, m=,0.000, ca=,0.0555, cr=,0.0383,  1.387490, 
t=,1836871, actvstrat=,mBuy=,-0.050, mSel=,+0.127, b=,0.675, m=,0.002, ca=,0.0533, cr=,0.0399,  1.401679, 
t=,1866028, actvstrat=,mBuy=,-0.061, mSel=,+0.138, b=,0.654, m=,0.000, ca=,0.0537, cr=,0.0313,  1.444006, 
t=,1895185, actvstrat=,mBuy=,-0.077, mSel=,+0.125, b=,0.655, m=,0.004, ca=,0.0541, cr=,0.0284,  1.453982, 
t=,1924342, actvstrat=,mBuy=,-0.072, mSel=,+0.089, b=,0.668, m=,0.032, ca=,0.0523, cr=,0.0276,  1.444997, 
