t=,39034, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.098, ca=,0.0257, cr=,0.0158,  0.530219, 
t=,78066, actvstrat=,mBuy=,-0.086, mSel=,+0.074, b=,0.000, m=,0.105, ca=,0.0266, cr=,0.0162,  0.772402, 
t=,117099, actvstrat=,mBuy=,-0.103, mSel=,+0.054, b=,0.002, m=,0.112, ca=,0.0264, cr=,0.0148,  1.965972, 
t=,156133, actvstrat=,mBuy=,-0.103, mSel=,+0.054, b=,0.002, m=,0.112, ca=,0.0264, cr=,0.0148,  1.956425, 
t=,195166, actvstrat=,mBuy=,-0.130, mSel=,+0.073, b=,0.000, m=,0.092, ca=,0.0307, cr=,0.0209,  2.263176, 
t=,234198, actvstrat=,mBuy=,-0.130, mSel=,+0.073, b=,0.000, m=,0.092, ca=,0.0307, cr=,0.0209,  1.355221, 
t=,273231, actvstrat=,mBuy=,-0.129, mSel=,+0.080, b=,0.004, m=,0.075, ca=,0.0299, cr=,0.0185,  0.841845, 
t=,312264, actvstrat=,mBuy=,-0.111, mSel=,+0.015, b=,0.000, m=,0.123, ca=,0.0324, cr=,0.0224,  0.859973, 
t=,351297, actvstrat=,mBuy=,-0.104, mSel=,+0.009, b=,0.029, m=,0.100, ca=,0.0348, cr=,0.0185,  0.636229, 
t=,390333, actvstrat=,mBuy=,-0.104, mSel=,+0.017, b=,0.060, m=,0.102, ca=,0.0315, cr=,0.0181,  0.718086, 
t=,429367, actvstrat=,mBuy=,-0.064, mSel=,+0.024, b=,0.095, m=,0.148, ca=,0.0312, cr=,0.0132,  0.711700, 
t=,468400, actvstrat=,mBuy=,-0.068, mSel=,+0.026, b=,0.116, m=,0.144, ca=,0.0298, cr=,0.0160,  0.715157, 
t=,507433, actvstrat=,mBuy=,-0.068, mSel=,+0.026, b=,0.116, m=,0.144, ca=,0.0298, cr=,0.0160,  0.726748, 
t=,546465, actvstrat=,mBuy=,-0.065, mSel=,+0.020, b=,0.126, m=,0.137, ca=,0.0250, cr=,0.0172,  0.758688, 
t=,585497, actvstrat=,mBuy=,-0.039, mSel=,+0.014, b=,0.126, m=,0.149, ca=,0.0226, cr=,0.0204,  0.789617, 
t=,624531, actvstrat=,mBuy=,-0.039, mSel=,+0.014, b=,0.126, m=,0.149, ca=,0.0226, cr=,0.0204,  0.841532, 
