t=,31380, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.094, ca=,0.0314, cr=,0.0253,  0.330701, 
t=,62761, actvstrat=,mBuy=,-0.076, mSel=,+0.060, b=,0.003, m=,0.081, ca=,0.0343, cr=,0.0262,  0.695292, 
t=,94142, actvstrat=,mBuy=,-0.062, mSel=,+0.071, b=,0.000, m=,0.065, ca=,0.0331, cr=,0.0214,  0.714381, 
t=,125523, actvstrat=,mBuy=,-0.068, mSel=,+0.058, b=,0.028, m=,0.064, ca=,0.0323, cr=,0.0191,  0.434092, 
t=,156903, actvstrat=,mBuy=,-0.102, mSel=,+0.062, b=,0.041, m=,0.067, ca=,0.0312, cr=,0.0166,  0.391209, 
t=,188284, actvstrat=,mBuy=,-0.110, mSel=,+0.053, b=,0.066, m=,0.100, ca=,0.0286, cr=,0.0188,  0.481223, 
t=,219667, actvstrat=,mBuy=,-0.075, mSel=,+0.011, b=,0.063, m=,0.088, ca=,0.0282, cr=,0.0201,  0.529900, 
t=,251047, actvstrat=,mBuy=,-0.078, mSel=,+0.000, b=,0.112, m=,0.122, ca=,0.0298, cr=,0.0130,  0.545935, 
t=,282428, actvstrat=,mBuy=,-0.080, mSel=,+0.017, b=,0.118, m=,0.074, ca=,0.0290, cr=,0.0124,  0.602293, 
t=,313809, actvstrat=,mBuy=,-0.093, mSel=,+0.025, b=,0.154, m=,0.059, ca=,0.0322, cr=,0.0115,  0.624976, 
t=,345189, actvstrat=,mBuy=,-0.107, mSel=,+0.030, b=,0.174, m=,0.025, ca=,0.0290, cr=,0.0106,  0.710087, 
t=,376570, actvstrat=,mBuy=,-0.130, mSel=,+0.026, b=,0.207, m=,0.008, ca=,0.0291, cr=,0.0073,  0.712226, 
t=,407951, actvstrat=,mBuy=,-0.108, mSel=,+0.018, b=,0.230, m=,0.000, ca=,0.0269, cr=,0.0042,  0.762172, 
t=,439331, actvstrat=,mBuy=,-0.111, mSel=,+0.010, b=,0.264, m=,0.025, ca=,0.0241, cr=,0.0050,  0.824833, 
t=,470712, actvstrat=,mBuy=,-0.161, mSel=,+0.024, b=,0.293, m=,0.004, ca=,0.0262, cr=,0.0024,  0.828049, 
t=,502092, actvstrat=,mBuy=,-0.190, mSel=,+0.048, b=,0.339, m=,0.040, ca=,0.0296, cr=,0.0054,  0.820204, 
t=,533473, actvstrat=,mBuy=,-0.148, mSel=,+0.070, b=,0.333, m=,0.039, ca=,0.0306, cr=,0.0047,  0.848669, 
t=,564854, actvstrat=,mBuy=,-0.135, mSel=,+0.031, b=,0.334, m=,0.065, ca=,0.0298, cr=,0.0063,  0.822713, 
t=,596236, actvstrat=,mBuy=,-0.127, mSel=,+0.079, b=,0.315, m=,0.056, ca=,0.0266, cr=,0.0059,  0.835171, 
t=,627617, actvstrat=,mBuy=,-0.109, mSel=,+0.059, b=,0.310, m=,0.024, ca=,0.0280, cr=,0.0068,  0.809438, 
t=,658998, actvstrat=,mBuy=,-0.104, mSel=,+0.059, b=,0.344, m=,0.018, ca=,0.0267, cr=,0.0037,  0.785607, 
t=,690379, actvstrat=,mBuy=,-0.128, mSel=,+0.010, b=,0.369, m=,0.000, ca=,0.0245, cr=,0.0035,  0.897872, 
t=,721761, actvstrat=,mBuy=,-0.132, mSel=,+0.000, b=,0.379, m=,0.003, ca=,0.0307, cr=,0.0077,  0.890011, 
t=,753141, actvstrat=,mBuy=,-0.134, mSel=,+0.005, b=,0.381, m=,0.028, ca=,0.0326, cr=,0.0072,  0.900245, 
t=,784521, actvstrat=,mBuy=,-0.167, mSel=,+0.002, b=,0.364, m=,0.037, ca=,0.0310, cr=,0.0060,  0.869183, 
t=,815902, actvstrat=,mBuy=,-0.188, mSel=,+0.000, b=,0.331, m=,0.042, ca=,0.0343, cr=,0.0108,  0.842434, 
t=,847283, actvstrat=,mBuy=,-0.169, mSel=,+0.014, b=,0.365, m=,0.000, ca=,0.0331, cr=,0.0087,  0.914313, 
t=,878664, actvstrat=,mBuy=,-0.152, mSel=,+0.000, b=,0.414, m=,0.006, ca=,0.0287, cr=,0.0094,  0.919249, 
t=,910048, actvstrat=,mBuy=,-0.181, mSel=,+0.018, b=,0.406, m=,0.010, ca=,0.0264, cr=,0.0132,  0.890185, 
t=,941428, actvstrat=,mBuy=,-0.215, mSel=,+0.039, b=,0.378, m=,0.000, ca=,0.0282, cr=,0.0138,  0.947816, 
t=,972809, actvstrat=,mBuy=,-0.234, mSel=,+0.027, b=,0.428, m=,0.015, ca=,0.0271, cr=,0.0123,  0.855936, 
t=,1004189, actvstrat=,mBuy=,-0.223, mSel=,+0.022, b=,0.391, m=,0.012, ca=,0.0259, cr=,0.0106,  0.877625, 
t=,1035569, actvstrat=,mBuy=,-0.207, mSel=,+0.060, b=,0.355, m=,0.000, ca=,0.0230, cr=,0.0050,  0.934032, 
t=,1066950, actvstrat=,mBuy=,-0.139, mSel=,+0.051, b=,0.305, m=,0.001, ca=,0.0280, cr=,0.0071,  0.852356, 
t=,1098331, actvstrat=,mBuy=,-0.108, mSel=,+0.051, b=,0.328, m=,0.048, ca=,0.0269, cr=,0.0096,  0.817454, 
t=,1129711, actvstrat=,mBuy=,-0.100, mSel=,+0.038, b=,0.379, m=,0.035, ca=,0.0271, cr=,0.0074,  0.855812, 
t=,1161092, actvstrat=,mBuy=,-0.118, mSel=,+0.040, b=,0.393, m=,0.000, ca=,0.0244, cr=,0.0064,  0.940278, 
t=,1192473, actvstrat=,mBuy=,-0.074, mSel=,+0.027, b=,0.404, m=,0.014, ca=,0.0238, cr=,0.0052,  0.912380, 
t=,1223855, actvstrat=,mBuy=,-0.084, mSel=,+0.009, b=,0.443, m=,0.031, ca=,0.0296, cr=,0.0055,  0.902082, 
t=,1255235, actvstrat=,mBuy=,-0.054, mSel=,+0.000, b=,0.473, m=,0.037, ca=,0.0277, cr=,0.0046,  0.875892, 
t=,1286616, actvstrat=,mBuy=,-0.045, mSel=,+0.055, b=,0.530, m=,0.044, ca=,0.0318, cr=,0.0045,  0.948053, 
t=,1317996, actvstrat=,mBuy=,-0.055, mSel=,+0.044, b=,0.536, m=,0.003, ca=,0.0374, cr=,0.0044,  0.999694, 
t=,1349377, actvstrat=,mBuy=,-0.034, mSel=,+0.070, b=,0.541, m=,0.020, ca=,0.0364, cr=,0.0103,  0.970730, 
t=,1380757, actvstrat=,mBuy=,-0.026, mSel=,+0.113, b=,0.539, m=,0.003, ca=,0.0384, cr=,0.0071,  0.975507, 
t=,1412138, actvstrat=,mBuy=,-0.002, mSel=,+0.139, b=,0.596, m=,0.000, ca=,0.0375, cr=,0.0081,  0.950102, 
t=,1443519, actvstrat=,mBuy=,+0.000, mSel=,+0.092, b=,0.583, m=,0.038, ca=,0.0416, cr=,0.0072,  0.939384, 
t=,1474900, actvstrat=,mBuy=,-0.002, mSel=,+0.077, b=,0.553, m=,0.012, ca=,0.0405, cr=,0.0090,  0.938213, 
t=,1506281, actvstrat=,mBuy=,-0.038, mSel=,+0.046, b=,0.547, m=,0.013, ca=,0.0424, cr=,0.0097,  0.945290, 
t=,1537661, actvstrat=,mBuy=,-0.065, mSel=,+0.038, b=,0.573, m=,0.000, ca=,0.0421, cr=,0.0085,  0.989659, 
t=,1569042, actvstrat=,mBuy=,-0.061, mSel=,+0.000, b=,0.585, m=,0.032, ca=,0.0405, cr=,0.0067,  0.927580, 
t=,1600423, actvstrat=,mBuy=,-0.046, mSel=,+0.069, b=,0.580, m=,0.000, ca=,0.0438, cr=,0.0077,  1.053718, 
t=,1631804, actvstrat=,mBuy=,+0.000, mSel=,+0.067, b=,0.581, m=,0.007, ca=,0.0469, cr=,0.0087,  0.977883, 
