t=,31312, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.083, ca=,0.0137, cr=,0.0419,  actvprof=,1.039690, best_B_id=,B04, best_B_prof=,1.039690, best_B_strat=, mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.083, ca=,0.0137, cr=,0.0419, 
t=,62624, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423,  actvprof=,1.575564, best_B_id=,B04, best_B_prof=,1.575564, best_B_strat=, mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423, 
t=,93937, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423,  actvprof=,1.609448, best_B_id=,B04, best_B_prof=,1.609448, best_B_strat=, mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423, 
t=,125250, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423,  actvprof=,1.648571, best_B_id=,B04, best_B_prof=,1.648571, best_B_strat=, mBuy=,-0.054, mSel=,+0.049, b=,0.005, m=,0.086, ca=,0.0135, cr=,0.0423, 
t=,156562, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427,  actvprof=,1.593184, best_B_id=,B04, best_B_prof=,1.593184, best_B_strat=, mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427, 
t=,187875, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427,  actvprof=,1.615221, best_B_id=,B04, best_B_prof=,1.615221, best_B_strat=, mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427, 
t=,219187, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427,  actvprof=,1.671671, best_B_id=,B04, best_B_prof=,1.671671, best_B_strat=, mBuy=,-0.075, mSel=,+0.090, b=,0.004, m=,0.093, ca=,0.0151, cr=,0.0427, 
t=,250500, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.062, mSel=,+0.094, b=,0.000, m=,0.078, ca=,0.0150, cr=,0.0435,  actvprof=,1.879633, best_B_id=,B04, best_B_prof=,1.879633, best_B_strat=, mBuy=,-0.062, mSel=,+0.094, b=,0.000, m=,0.078, ca=,0.0150, cr=,0.0435, 
t=,281812, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.082, mSel=,+0.068, b=,0.003, m=,0.085, ca=,0.0150, cr=,0.0413,  actvprof=,1.899313, best_B_id=,B04, best_B_prof=,1.899313, best_B_strat=, mBuy=,-0.082, mSel=,+0.068, b=,0.003, m=,0.085, ca=,0.0150, cr=,0.0413, 
t=,313124, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.074, mSel=,+0.077, b=,0.002, m=,0.115, ca=,0.0118, cr=,0.0408,  actvprof=,2.922275, best_B_id=,B04, best_B_prof=,2.922275, best_B_strat=, mBuy=,-0.074, mSel=,+0.077, b=,0.002, m=,0.115, ca=,0.0118, cr=,0.0408, 
t=,344437, id=,B04, ZIPSH,actvstrat=,mBuy=,-0.074, mSel=,+0.077, b=,0.002, m=,0.115, ca=,0.0118, cr=,0.0408,  actvprof=,2.958593, best_B_id=,B04, best_B_prof=,2.958593, best_B_strat=, mBuy=,-0.074, mSel=,+0.077, b=,0.002, m=,0.115, ca=,0.0118, cr=,0.0408, 
