t=,34549, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.008, ca=,0.0356, cr=,0.0288,  1.605626, 
t=,69098, actvstrat=,mBuy=,-0.031, mSel=,+0.087, b=,0.000, m=,0.040, ca=,0.0347, cr=,0.0288,  1.762979, 
t=,103646, actvstrat=,mBuy=,-0.073, mSel=,+0.123, b=,0.003, m=,0.028, ca=,0.0302, cr=,0.0239,  2.306648, 
t=,138195, actvstrat=,mBuy=,-0.073, mSel=,+0.123, b=,0.003, m=,0.028, ca=,0.0302, cr=,0.0239,  2.329601, 
t=,172743, actvstrat=,mBuy=,-0.120, mSel=,+0.104, b=,0.000, m=,0.025, ca=,0.0335, cr=,0.0197,  2.612306, 
t=,207291, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.317404, 
t=,241840, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.283739, 
t=,276389, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.361114, 
t=,310938, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.348480, 
t=,345487, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.412757, 
t=,380036, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.315951, 
t=,414584, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.335057, 
t=,449133, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.400097, 
t=,483682, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.399592, 
t=,518231, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.368789, 
t=,552779, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.353500, 
t=,587327, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.517023, 
t=,621876, actvstrat=,mBuy=,-0.095, mSel=,+0.106, b=,0.003, m=,0.022, ca=,0.0303, cr=,0.0173,  2.334401, 
t=,656424, actvstrat=,mBuy=,-0.107, mSel=,+0.117, b=,0.002, m=,0.000, ca=,0.0303, cr=,0.0095,  2.589523, 
t=,690972, actvstrat=,mBuy=,-0.110, mSel=,+0.116, b=,0.000, m=,0.009, ca=,0.0308, cr=,0.0084,  2.805688, 
