t=,41117, actvstrat=,mBuy=,-0.050, mSel=,+0.050, b=,0.010, m=,0.052, ca=,0.0263, cr=,0.0260,  0.351717, 
t=,82233, actvstrat=,mBuy=,-0.042, mSel=,+0.050, b=,0.023, m=,0.054, ca=,0.0255, cr=,0.0297,  0.412762, 
t=,123349, actvstrat=,mBuy=,-0.057, mSel=,+0.050, b=,0.055, m=,0.013, ca=,0.0271, cr=,0.0293,  0.506414, 
t=,164465, actvstrat=,mBuy=,-0.057, mSel=,+0.050, b=,0.055, m=,0.013, ca=,0.0271, cr=,0.0293,  0.508721, 
t=,205585, actvstrat=,mBuy=,-0.054, mSel=,+0.050, b=,0.087, m=,0.091, ca=,0.0281, cr=,0.0300,  0.556337, 
t=,246702, actvstrat=,mBuy=,-0.063, mSel=,+0.050, b=,0.105, m=,0.075, ca=,0.0282, cr=,0.0311,  0.581326, 
t=,287819, actvstrat=,mBuy=,-0.060, mSel=,+0.050, b=,0.127, m=,0.104, ca=,0.0279, cr=,0.0280,  0.600072, 
t=,328935, actvstrat=,mBuy=,-0.064, mSel=,+0.050, b=,0.170, m=,0.084, ca=,0.0306, cr=,0.0316,  0.604937, 
t=,370052, actvstrat=,mBuy=,-0.053, mSel=,+0.050, b=,0.181, m=,0.064, ca=,0.0267, cr=,0.0349,  0.697033, 
t=,411168, actvstrat=,mBuy=,-0.043, mSel=,+0.050, b=,0.223, m=,0.057, ca=,0.0262, cr=,0.0324,  0.701049, 
t=,452285, actvstrat=,mBuy=,-0.066, mSel=,+0.050, b=,0.251, m=,0.064, ca=,0.0245, cr=,0.0363,  0.731028, 
t=,493406, actvstrat=,mBuy=,-0.091, mSel=,+0.050, b=,0.243, m=,0.022, ca=,0.0224, cr=,0.0311,  0.813520, 
t=,534523, actvstrat=,mBuy=,-0.087, mSel=,+0.050, b=,0.246, m=,0.000, ca=,0.0171, cr=,0.0323,  0.810624, 
t=,575639, actvstrat=,mBuy=,-0.091, mSel=,+0.050, b=,0.240, m=,0.002, ca=,0.0176, cr=,0.0306,  0.782587, 
t=,616755, actvstrat=,mBuy=,-0.063, mSel=,+0.050, b=,0.219, m=,0.000, ca=,0.0182, cr=,0.0250,  0.830987, 
t=,657871, actvstrat=,mBuy=,-0.063, mSel=,+0.050, b=,0.219, m=,0.000, ca=,0.0182, cr=,0.0250,  0.792707, 
t=,698987, actvstrat=,mBuy=,-0.116, mSel=,+0.050, b=,0.246, m=,0.000, ca=,0.0195, cr=,0.0257,  0.791649, 
t=,740103, actvstrat=,mBuy=,-0.116, mSel=,+0.050, b=,0.246, m=,0.000, ca=,0.0195, cr=,0.0257,  0.833183, 
t=,781219, actvstrat=,mBuy=,-0.123, mSel=,+0.050, b=,0.288, m=,0.000, ca=,0.0232, cr=,0.0233,  0.870573, 
t=,822336, actvstrat=,mBuy=,-0.123, mSel=,+0.050, b=,0.288, m=,0.000, ca=,0.0232, cr=,0.0233,  0.852183, 
t=,863453, actvstrat=,mBuy=,-0.106, mSel=,+0.050, b=,0.304, m=,0.014, ca=,0.0217, cr=,0.0221,  0.837179, 
t=,904569, actvstrat=,mBuy=,-0.117, mSel=,+0.050, b=,0.273, m=,0.000, ca=,0.0233, cr=,0.0229,  0.824359, 
t=,945686, actvstrat=,mBuy=,-0.136, mSel=,+0.050, b=,0.273, m=,0.019, ca=,0.0232, cr=,0.0203,  0.808493, 
t=,986803, actvstrat=,mBuy=,-0.165, mSel=,+0.050, b=,0.291, m=,0.000, ca=,0.0208, cr=,0.0217,  0.809730, 
t=,1027919, actvstrat=,mBuy=,-0.165, mSel=,+0.050, b=,0.291, m=,0.000, ca=,0.0208, cr=,0.0217,  0.816899, 
